locale,audioLanguageSlug,coreLanguageId,startUnique,unionUnique,atLeast6,atLeast30,atLeast44,eligibleVideoIdsUpperBound,pool:exploring-jesus,pool:forgiveness-and-new-beginnings,pool:hope-and-perseverance,pool:love-and-belonging,pool:meaning-and-purpose,rejected:canonical_duplicate,rejected:editorial_review_pending,rejected:exact_audio_unavailable,rejected:watch_unavailable
en,aari,4797,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,abanglekuo,184631,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,abanyom,139251,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,abau,12296,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,abidji,15909,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,abkhaz,5074,34,34,True,True,False,76,20,7,14,12,18,1,11,162,2
en,abure,16117,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,abureni,144623,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,acateco,5428,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,acchami,111586,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,aceh,17688,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,achang,3697,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,ache,100378,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,ache-2,184846,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,achi-rabinal,5441,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,acholi,13555,37,37,True,True,False,107,21,10,15,14,18,1,11,159,2
en,achuar-shiwiar,139273,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,adangme,50836,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,adele,5338,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,adi,24173,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,adioukrou,16116,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,adonara,96802,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,adygey,20522,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,adzera,96809,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,afar,4468,53,53,True,True,True,116,35,9,23,18,23,1,11,143,2
en,afrikaans,1444,110,110,True,True,True,263,56,29,41,45,44,3,11,83,2
en,agabag,143624,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,agarabi,96835,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,agatu,9290,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,aghem,139321,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,aguna,139205,30,30,True,True,False,55,16,7,12,12,17,1,11,166,2
en,agusan-surigao-manobo,184668,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,ahanta,5170,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,ahirani,6330,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,a-hmao,22812,53,53,True,True,True,118,35,9,23,18,23,1,11,143,2
en,aikana,184550,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,aja-gbe,1280,53,53,True,True,True,116,35,9,23,18,23,1,11,143,2
en,ajiya,141189,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,akebu,141199,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,akeu,96819,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,akha,3712,34,34,True,True,False,76,20,7,14,12,18,1,11,162,2
en,aklanon,12853,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,akoose,2894,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,akposo,5296,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,akuku,139598,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,alaba,4793,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,alagwa,142694,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,alangan,139397,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,albanian,20526,66,66,True,True,True,171,42,15,26,24,25,3,11,127,2
en,albanian-kosovar,20528,43,43,True,True,False,85,24,13,16,16,19,3,11,150,2
en,ale-gawwada,98459,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,alis-i-ron,134882,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,altai,21554,33,33,True,True,False,65,19,7,14,12,18,1,11,163,2
en,alur,14694,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,ama,20118,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,amam,184583,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,amanab,10685,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,ambae-east,144776,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,ambai,139414,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,ambrym-southeast,141931,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,amdo-tibetan,23089,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,american-sign-language,19171,2,2,False,False,False,2,2,0,1,0,0,0,11,195,2
en,amharic,4791,77,77,True,True,True,175,49,17,30,26,26,3,11,116,2
en,amuzgo-guerrero,8351,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,amuzgo-oaxaca,8338,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,anaang,9317,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,andaandi,140196,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,andio,140162,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,angaataha,139319,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,angal-heneng,139376,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,angika,23330,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,anjam,10810,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,ansus,139429,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,antandroy,23192,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,antesaka,139153,0,0,False,False,False,2,0,0,0,0,0,0,11,197,2
en,anuak,4790,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,anufo,1345,37,37,True,True,False,67,21,10,15,14,18,1,11,159,2
en,anyin,5333,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,ao,176313,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,aokha,142264,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,apalai,139476,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,apinaye,1890,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,apurina,1889,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,arabic-algerian-spoken,525,63,63,True,True,True,152,40,14,25,22,24,3,11,130,2
en,arabic-bedouin,184531,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,arabic-chadian-spoken,20531,42,42,True,True,False,84,23,12,16,16,19,3,11,151,2
en,arabic-egyptian-colloquial,20533,78,78,True,True,True,236,50,17,30,28,26,3,11,115,2
en,arabic-gulf,139181,54,54,True,True,True,117,36,9,23,18,23,1,11,142,2
en,arabic-hassaniya,7839,42,42,True,True,False,84,23,12,16,16,19,3,11,151,2
en,arabic-hijazi,184592,34,34,True,True,False,63,20,7,14,12,18,1,11,162,2
en,arabic-iraqi-baghdadi,21061,42,42,True,True,False,84,23,12,16,16,19,3,11,151,2
en,arabic-juba,38242,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,arabic-khuzestani,185355,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,arabic-libyan,184848,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,arabic-modern-standard,22658,154,154,True,True,True,614,79,38,56,55,61,3,11,39,2
en,arabic-modern-standard-egyptian,53441,57,57,True,True,True,134,39,10,23,18,24,1,11,139,2
en,arabic-modern-standard-sharif,184495,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,arabic-moroccan-spoken,8418,65,65,True,True,True,195,42,14,26,23,24,3,11,128,2
en,arabic-najdi,184591,5,5,False,False,False,9,4,2,1,1,1,0,11,192,2
en,arabic-north-african,20538,1,1,False,False,False,1,1,0,0,0,0,0,11,196,2
en,arabic-palestinian,53347,63,63,True,True,True,152,40,14,25,22,24,3,11,130,2
en,arabic-saidi-spoken,4532,54,54,True,True,True,132,36,9,23,18,23,1,11,142,2
en,arabic-sanaani,15161,34,34,True,True,False,63,20,7,14,12,18,1,11,162,2
en,arabic-sudanese-spoken,13562,64,64,True,True,True,153,40,14,25,23,25,3,11,129,2
en,arabic-taizzi-yemeni,184627,53,53,True,True,True,116,35,9,23,18,23,1,11,143,2
en,arabic-tunisian,20547,62,62,True,True,True,259,39,14,25,22,24,3,11,131,2
en,aralle,145459,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,aramba,11251,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,arbore,139498,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,are,144351,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,arhe,139524,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,arifama-miniafia,10616,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,aringa,99508,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,armenian,646,65,65,True,True,True,156,41,15,25,23,25,3,11,128,2
en,armenian-western,20550,55,55,True,True,True,131,37,10,23,18,23,1,11,141,2
en,arosi,139342,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,arumanian,176089,53,53,True,True,True,118,35,9,23,18,23,1,11,143,2
en,asante-twi,185199,58,58,True,True,True,137,38,12,24,20,23,1,11,138,2
en,ashaninka,140060,53,53,True,True,True,115,35,9,23,18,23,1,11,143,2
en,asheninca-pichis,23941,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,assamese,1171,56,56,True,True,True,138,37,9,25,20,23,1,11,140,2
en,assamese-muslim,185219,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,assyrian,20551,53,53,True,True,True,116,35,9,23,18,23,1,11,143,2
en,ateso,20963,37,37,True,True,False,67,21,10,15,14,18,1,11,159,2
en,athpariya,97073,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
