localeGroup,audioLanguageSlug,coreLanguageId,startUnique,unionUnique,atLeast6,atLeast30,atLeast44,eligibleVideoIdsUpperBound,pool:meaning-and-purpose,pool:hope-and-perseverance,pool:love-and-belonging,pool:forgiveness-and-new-beginnings,pool:exploring-jesus,rejected:editorial_review_pending,rejected:watch_unavailable,rejected:locale_unpublished,rejected:exact_audio_unavailable,rejected:artwork_unavailable,rejected:canonical_duplicate,rejected:video_unresolved
group-01,aari,4797,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,abanglekuo,184631,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,abanyom,139251,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,abau,12296,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,abidji,15909,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,abkhaz,5074,0,0,false,false,false,0,0,0,0,0,0,11,2,197,170,0,0,0
group-01,abure,16117,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,abureni,144623,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,acateco,5428,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,acchami,111586,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,aceh,17688,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,achang,3697,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,ache,100378,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,ache-2,184846,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,achi-rabinal,5441,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,acholi,13555,0,0,false,false,false,0,0,0,0,0,0,11,2,197,176,0,0,0
group-01,achuar-shiwiar,139273,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,adangme,50836,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,adele,5338,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,adi,24173,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,adioukrou,16116,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,adonara,96802,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,adygey,20522,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,adzera,96809,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
