locale,audioLanguageSlug,coreLanguageId,htmlLang,publicHomepageLanguage,startUnique,unionUnique,atLeast6,atLeast30,atLeast44,eligibleVideoIdsUpperBound,pool:meaning-and-purpose,pool:hope-and-perseverance,pool:love-and-belonging,pool:forgiveness-and-new-beginnings,pool:exploring-jesus,rejected:editorial_review_pending,rejected:watch_unavailable,rejected:locale_unpublished,rejected:exact_audio_unavailable,rejected:artwork_unavailable,rejected:canonical_duplicate,rejected:video_unresolved
en,a-hmao,22812,en,true,53,53,true,true,true,118,23,23,18,9,35,11,2,0,143,0,1,0
en,aari,4797,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,abanglekuo,184631,en,true,33,33,true,true,false,64,18,14,12,7,19,11,2,0,163,0,1,0
en,abanyom,139251,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,abau,12296,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,abidji,15909,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,abkhaz,5074,en,true,34,34,true,true,false,76,18,14,12,7,20,11,2,0,162,0,1,0
en,abure,16117,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,abureni,144623,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,acateco,5428,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
ne,acchami,111586,npi,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
en,aceh,17688,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,achang,3697,en,true,33,33,true,true,false,63,18,14,12,7,19,11,2,0,163,0,1,0
en,ache,100378,en,true,33,33,true,true,false,63,18,14,12,7,19,11,2,0,163,0,1,0
en,ache-2,184846,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,achi-rabinal,5441,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,acholi,13555,en,true,37,37,true,true,false,107,18,15,14,10,21,11,2,0,159,0,1,0
en,achuar-shiwiar,139273,en,true,33,33,true,true,false,63,18,14,12,7,19,11,2,0,163,0,1,0
en,adangme,50836,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,adele,5338,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,adi,24173,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,adioukrou,16116,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,adonara,96802,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
ady,adygey,20522,ady,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
en,adzera,96809,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,afar,4468,en,true,53,53,true,true,true,116,23,23,18,9,35,11,2,0,143,0,1,0
af,afrikaans,1444,af,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,83,0,0,0
en,agabag,143624,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,agarabi,96835,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,agatu,9290,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,aghem,139321,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,aguna,139205,en,true,30,30,true,true,false,55,17,12,12,7,16,11,2,0,166,0,1,0
en,agusan-surigao-manobo,184668,en,true,33,33,true,true,false,64,18,14,12,7,19,11,2,0,163,0,1,0
en,ahanta,5170,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,ahirani,6330,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,aikana,184550,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,aja-gbe,1280,en,true,53,53,true,true,true,116,23,23,18,9,35,11,2,0,143,0,1,0
en,ajiya,141189,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,akebu,141199,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,akeu,96819,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,akha,3712,en,true,34,34,true,true,false,76,18,14,12,7,20,11,2,0,162,0,1,0
en,aklanon,12853,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,akoose,2894,en,true,33,33,true,true,false,64,18,14,12,7,19,11,2,0,163,0,1,0
en,akposo,5296,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,akuku,139598,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,alaba,4793,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,alagwa,142694,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,alangan,139397,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
sq,albanian,20526,sq,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,127,0,0,0
sq,albanian-kosovar,20528,sq-aln,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,167,0,0,0
en,ale-gawwada,98459,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,alis-i-ron,134882,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,altai,21554,en,true,33,33,true,true,false,65,18,14,12,7,19,11,2,0,163,0,1,0
en,alur,14694,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,ama,20118,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,amam,184583,en,true,33,33,true,true,false,63,18,14,12,7,19,11,2,0,163,0,1,0
en,amanab,10685,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,ambae-east,144776,en,true,33,33,true,true,false,63,18,14,12,7,19,11,2,0,163,0,1,0
en,ambai,139414,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,ambrym-southeast,141931,en,true,33,33,true,true,false,63,18,14,12,7,19,11,2,0,163,0,1,0
en,amdo-tibetan,23089,en,true,33,33,true,true,false,64,18,14,12,7,19,11,2,0,163,0,1,0
en,american-sign-language,19171,en,true,2,2,false,false,false,2,0,1,0,0,2,11,2,0,195,0,0,0
am,amharic,4791,am,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,116,0,0,0
en,amuzgo-guerrero,8351,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,amuzgo-oaxaca,8338,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,anaang,9317,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,andaandi,140196,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,andio,140162,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,angaataha,139319,en,true,33,33,true,true,false,63,18,14,12,7,19,11,2,0,163,0,1,0
en,angal-heneng,139376,en,true,33,33,true,true,false,63,18,14,12,7,19,11,2,0,163,0,1,0
en,angika,23330,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
