id,slug,bcp47
10007,tera,ttr
100107,sedoa,tvw
10014,tangale,tan
10021,mwaghavul,sur
10022,sukur,syk
100227,gbe-saxwe,sxw
100255,bikol-buhinon,ubl
100282,yakha,ybh
100301,tal,tal
100378,ache,yif
10040,saya,say
100408,munda,unx
100453,naga-yimchungru,yim
10048,reshe,res
100506,varhadi-nagpuri,vah
100574,tennet,tex
100677,kroumen-tepo,ted
100703,awa,vwa
10076,gbari,gby
100773,waura,wau
100807,zapotec-tabaa,zat
10085,gbagyi,gbr
100859,tobelo,tlb
100882,malay-papuan,ms-pmy
100947,mbuko,mqb
100953,mbelime,mql
100971,nyala,nle
10106,izere,izr
101096,popoloca-san-luis-temalacayuca,pps
101184,noiri,noi
10124,etsako-iyekhe,ets
101301,napu,npy
101310,naga-chokri,nri
101316,naga-sangtam,nsa
101328,powari,pwr
101396,meqa,mvz
10143,gokana,gkn
101456,suba-simbiti,ssc
101474,muria-western,mut
101511,ralte,ral
101512,canela,ram
101562,moken,mwt
10157,fakai,gel
101621,tarifit,rif
101630,rakhine,rki
101632,rangpuria-bangla,rkt
101665,moma,myl
101677,naga-zeme,nzm
101718,melpa,med
101729,merey,meq
101788,marma,rmz
101827,matal,mfh
101833,mbe,mfo
101847,naga-chang,nbc
10185,berom,bom
101919,manda,mgs
10208,bekwarra,bkv
102103,toura,neb
10221,bade,bde
102234,senoufo-nyarafolo,sev
102259,yanomami-ninam,shb
10231,awak,awo
102324,nandi,niq
10241,ekpari,ekr
10248,ekajuk,eka
10252,eggon,ego
10255,edo,bin
10262,kirho,dud
10292,dadiya,dbd
10343,bura-pabir,bwr
10364,obolo,ann
10365,gamai,ank
10393,norwegian-bokmal,no
10450,hindko-northern,hno
10455,hindko-southern,hnd
10461,waneci,wne
10474,torwali,trw
10488,sindhi-bhil,sbn
10500,shina-kohistani,plk
10519,pashto-southern,pbt
10526,kohistani-indus,mvy
10527,marwari-northern,mve
10528,marwari-southern,mve
10529,dhatki,mki
10535,koli-wadiyara,kxp
10536,kohli-parkari,kvx
10545,sansi,ssi
105534,tiriki,ida
10558,khowar,khw
10559,jadgali,jdg
10570,burushaski,bsk
10589,palauan,pau
10597,guaymi,gym
10601,buglere,sab
10616,arifama-miniafia,aai
106188,rufumbira,rw
10685,amanab,amn
106963,lala,lla
10715,bariai,bch
10726,barai,bbb
10810,anjam,boj
108102,csango,hu
10813,bola,bnp
108321,likoonl,xon
108591,erei,yay
109459,yakpa,bjo
10981,yonggom,yon
11033,watakataui,wtk
11052,vitu,wiv
1106,german-standard,de
1107,hungarian,hu
1109,croatian,hr
11092,lote,uvl
11105,urat,urt
11108,urim,uri
1112,slovenian,sl
1113,romani-sinte,rmo
11150,vasui,tpz
111586,acchami,npi
111587,baitadeli,npi
111588,darchuleli,npi
111589,bajhangi,npi
111677,kermanshahi,sdh
11230,mandara,tbf
1124,talysh,tly
11251,aramba,stk
11259,sinasina,sst
1126,tat-juhuri,jdt
1127,lezgi,lez
11303,sinaugoro,snc
11329,rawa,rwo
11446,bine,bon
11479,numanggang,nop
114921,jur-beli,blm
114936,plang,blr
115239,bobe,bvb
11536,nakanai,nak
