audioLanguageSlug,coreLanguageId,sourcePublishedLeafVideos,sourcePublishedHlsLeafVideos,sourcePublishedHlsVideosAllLabels,curatedStartUnique,curatedUnionUnique,curatedStartWorkFamilies,curatedStartStoryGroups,curatedStartMedianDubAtMost15m,curatedStartFeatureFilms,startMeets6,startMeets30,unionMeets30,adminValidatedUnique,identityStatus,pool_meaning-and-purpose,pool_hope-and-perseverance,pool_love-and-belonging,pool_forgiveness-and-new-beginnings,pool_exploring-jesus
a-hmao,22812,118,118,118,56,57,2,55,54,2,True,True,True,0,core_only,23,26,20,10,37
aari,4797,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
abanglekuo,184631,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
abanyom,139251,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
abau,12296,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
abidji,15909,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
abkhaz,5074,76,76,76,36,36,2,35,34,2,True,True,True,0,core_only,18,16,12,7,22
abure,16117,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
abureni,144623,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
acateco,5428,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
acchami,111586,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
aceh,17688,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
achang,3697,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ache,100378,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ache-2,184846,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
achi-rabinal,5441,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
acholi,13555,107,107,107,39,39,2,39,34,1,True,True,True,0,core_only,18,17,14,10,23
achuar-shiwiar,139273,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
adangme,50836,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
adele,5338,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
adi,24173,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
adioukrou,16116,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
adonara,96802,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
adygey,20522,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
adzera,96809,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
afar,4468,116,116,116,56,57,2,55,54,2,True,True,True,0,core_only,23,26,20,10,37
afrikaans,1444,263,263,265,119,121,21,117,112,3,True,True,True,0,core_only,44,48,52,32,60
agabag,143624,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
agarabi,96835,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
agatu,9290,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
aghem,139321,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
aguna,139205,55,55,55,32,32,1,32,31,1,True,True,True,0,core_only,17,14,12,7,18
agusan-surigao-manobo,184668,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ahanta,5170,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ahirani,6330,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
aikana,184550,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
aja-gbe,1280,116,116,116,56,57,2,55,54,2,True,True,True,0,core_only,23,26,20,10,37
ajiya,141189,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
akebu,141199,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
akeu,96819,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
akha,3712,76,76,76,36,36,2,35,34,2,True,True,True,0,core_only,18,16,12,7,22
aklanon,12853,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
akoose,2894,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
akposo,5296,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
akuku,139598,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
alaba,4793,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
alagwa,142694,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
alangan,139397,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
albanian,20526,171,171,173,72,74,16,69,69,3,True,True,True,0,core_only,25,30,30,17,45
albanian-kosovar,20528,85,85,87,48,49,12,48,47,1,True,True,True,0,core_only,19,19,20,14,27
ale-gawwada,98459,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
alis-i-ron,134882,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
altai,21554,65,65,65,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
alur,14694,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ama,20118,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
amam,184583,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
amanab,10685,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ambae-east,144776,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ambai,139414,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ambrym-southeast,141931,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
amdo-tibetan,23089,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
american-sign-language,19171,2,2,2,2,2,2,2,0,2,False,False,False,0,core_only,0,1,0,0,2
amharic,4791,175,175,177,83,86,24,80,79,4,True,True,True,0,core_only,26,34,33,19,52
amuzgo-guerrero,8351,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
amuzgo-oaxaca,8338,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
anaang,9317,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
andaandi,140196,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
andio,140162,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
angaataha,139319,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
angal-heneng,139376,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
angika,23330,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
anjam,10810,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ansus,139429,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
antandroy,23192,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
antesaka,139153,2,2,2,0,0,0,0,0,0,False,False,False,0,core_only,0,0,0,0,0
anuak,4790,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
anufo,1345,67,67,67,39,39,2,39,34,1,True,True,True,0,core_only,18,17,14,10,23
anyin,5333,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ao,176313,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
aokha,142264,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
apalai,139476,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
apinaye,1890,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
apurina,1889,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
arabic-algerian-spoken,525,152,152,154,69,71,13,67,66,3,True,True,True,0,core_only,24,29,28,16,43
arabic-bedouin,184531,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
arabic-chadian-spoken,20531,84,84,86,47,48,11,47,46,1,True,True,True,0,core_only,19,19,20,13,26
arabic-egyptian-colloquial,20533,237,237,239,84,86,17,81,81,3,True,True,True,0,core_only,26,34,34,19,53
arabic-gulf,139181,117,117,117,57,58,3,56,54,3,True,True,True,0,core_only,23,26,20,10,38
arabic-hassaniya,7839,84,84,86,47,48,11,47,46,1,True,True,True,0,core_only,19,19,20,13,26
arabic-hijazi,184592,63,63,63,36,36,2,36,34,2,True,True,True,0,core_only,18,16,12,7,22
arabic-iraqi-baghdadi,21061,84,84,86,47,48,11,47,46,1,True,True,True,0,core_only,19,19,20,13,26
arabic-juba,38242,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
arabic-khuzestani,185355,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
arabic-libyan,184848,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
arabic-modern-standard,22658,614,614,617,164,167,53,158,158,6,True,True,True,0,core_only,61,64,62,42,84
arabic-modern-standard-egyptian,53441,134,134,134,60,61,6,58,56,4,True,True,True,0,core_only,24,26,20,11,41
arabic-modern-standard-sharif,184495,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
arabic-moroccan-spoken,8418,195,195,197,71,73,15,68,67,4,True,True,True,0,core_only,24,30,29,16,45
arabic-najdi,184591,9,9,9,6,6,2,6,5,1,True,False,False,0,core_only,1,2,1,2,5
arabic-north-african,20538,1,1,1,1,1,1,1,0,1,False,False,False,0,core_only,0,0,0,0,1
arabic-palestinian,53347,152,152,154,69,71,13,67,66,3,True,True,True,0,core_only,24,29,28,16,43
arabic-saidi-spoken,4532,132,132,132,57,58,3,55,54,3,True,True,True,0,core_only,23,26,20,10,38
arabic-sanaani,15161,63,63,63,36,36,2,36,34,2,True,True,True,0,core_only,18,16,12,7,22
arabic-sudanese-spoken,13562,153,153,155,70,72,14,68,67,3,True,True,True,0,core_only,25,29,29,16,43
arabic-taizzi-yemeni,184627,116,116,116,56,57,2,55,54,2,True,True,True,0,core_only,23,26,20,10,37
arabic-tunisian,20547,259,259,261,68,70,12,67,66,2,True,True,True,0,core_only,24,29,28,16,42
aralle,145459,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
aramba,11251,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
arbore,139498,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
are,144351,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
arhe,139524,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
