exactLocale,rawRows,rawDistinctVideos,publishedRows,deletedRows,publishedNondeletedNonemptyTitleVideos
ar,1131,1131,1131,0,1126
bn,1096,1096,1096,0,1091
de,1131,1131,1131,0,1126
en,1175,1175,1175,0,1175
es,817,817,817,0,803
fa,1108,1108,1108,0,1103
fil,1096,1096,1096,0,1091
fr,1131,1131,1131,0,1126
he,1131,1131,1131,0,1126
hi,1108,1108,1108,0,1103
id,1131,1131,1131,0,1126
ja,1131,1131,1131,0,1125
kk,1096,1096,1096,0,1093
ko,1131,1131,1131,0,1126
mn,1096,1096,1096,0,1091
pt,1131,1131,1131,0,1126
ru,1131,1131,1131,0,1126
th,1119,1119,1119,0,1114
tr,1131,1131,1131,0,1126
ur,1108,1108,1108,0,1103
vi,1131,1131,1131,0,1126
zh-hans,1131,1131,1131,0,1126
zh-hant,1131,1131,1131,0,1126
