videoId,coreVideoId,editionId,dubRows
cmp783f2t037kqm01sjnvsg9p,1_wl604412-0-0,cmp723lon07yvo001sy0l7g2z,240
cmp783gc8037wqm0132sbwrjj,1_wl604413-0-0,cmp722q1t07smo001ha7km59n,240
cmp783mpv03aiqm01z2mdfh5u,1_wl604416-0-0,cmp722n3007s1o001tpadtlpq,240
cmp783pdg03byqm01a7bknam7,1_wl604418-0-0,cmp7216sp07hpo001kekrxtvc,240
cmp783r6t03d0qm01fhzfp9m1,1_wl604419-0-0,cmp721fxr07jio001shuiskvb,240
cmokmoaax0oclqscc0oxyneom,JFP-Interests,cmp720rw407ero0015th174ut,2311
cmp7841tg03iqqm01hgrbvc0d,1_wl604426-0-0,cmp721wsy07muo001qpahtgh8,240
cmp784mxc03smqm01gl0h2z62,1_wl604440-0-0,cmp721tzs07mao001czgx4bhd,240
cmp784rfa03umqm01boyndwqw,1_wl604442-0-0,cmp723fsa07xpo0017x1xhrtz,240
cmp76vgs00264ny01k1zzyhhn,1_cl1306-0-0,cmp723hw607y4o001c5qn3buc,190
cmp76wd1p02bgny01dzlo0i1q,1_cl1311-0-0,cmp724azv083vo001fiy90185,190
cmp76ycuv02n0ny01faav3nae,1_jf6101-0-0,cmp71zpda0775o0018obgnxbe,1592
cmp76z3kf02rcny01tualv0bi,1_jf6104-0-0,cmp720gil07cio001dnfysvxl,1591
cmp76zc2202seny01di1ovnfl,1_jf6105-0-0,cmp71zyxz0791o00172vpngvg,1592
cmp76znob02v8ny01ihd4kfn8,1_jf6107-0-0,cmp7250q3088yo001k8gzha0f,1592
cmp76zyw002wyny013kze3wcq,1_jf6109-0-0,cmp723kzf07yqo001i1a1zi2m,1592
cmp770s6p030iny01x4utu5qu,1_jf6113-0-0,cmp7212ku07gvo001cc4iu3l8,1592
cmp770vlq030sny01aei6iwin,1_jf6114-0-0,cmp71zfss0759o001r2as3luo,1593
cmp7713o2031uny01awgrln0v,1_jf6115-0-0,cmp72116907glo0011gh7411u,1593
cmp771a3k032qny01hegqvskc,1_jf6116-0-0,cmp720cfx07bpo001qialrt60,1592
cmp77215v035qny01cod5dhhk,1_jf6119-0-0,cmp7222f907nyo001pa1gsxg7,1593
cmp7818yu0234qm0115sjnjwf,1_jf6137-0-0,cmp722v3x07tmo001q5g1g97a,1593
cmp781f7z026gqm01103hj6ac,1_jf6142-0-0,cmp720hcy07coo001y07yca0j,1594
cmokmmsww0o8wqsccuqbtbs0v,EASTER1,cmp724iux085fo0011vp7tafr,2282
cmp781hpx027sqm011cbbc0mj,1_jf6144-0-0,cmp7233zb07vdo00187lk4vhh,1594
cmp781j43028iqm0137cy8gsj,1_jf6145-0-0,cmp7213a407h0o001rs3azxib,1595
cmp781ki5029cqm019dva2vgr,1_jf6146-0-0,cmp7247wc0839o0019tor4sw1,1595
cmp781n0702asqm01imez2jbl,1_jf6148-0-0,cmp723utz080oo00132tkxzog,1594
cmp781rkx02d0qm01g6gba41l,1_jf6150-0-0,cmp71zs1o077oo0012bf28pl3,1592
cmp781z2y02h6qm01hf4rce96,1_jf6156-0-0,cmp71zf8m0755o00104ru34ol,1591
cmp7822u102jaqm01j4xg16xt,1_jf6159-0-0,cmp722dst07q7o001m3gorcpx,1591
cmp782bfs02o6qm01y8kskciq,1_riv_03-0-0,cmp721ee507j7o001l3meh8dk,40
cmp782con02owqm01nyi66i4z,1_riv_04-0-0,cmp721ndz07kzo0012tbhy182,40
cmp782gzk02qiqm01n463lpxu,1_riv_07-0-0,cmp7209rs07b6o00155wvmjz2,40
