languageId,coreLanguageId,audioLanguageSlug,canonicalEnglishName,canonicalNameLocales,legacyEnglishNameMirror,bcp47,iso3,source,deletedAt,syncedAt,rawDubRows,rawVideos,rawLeafVideos,rawCollectionVideos,rawSeriesVideos,rawVideosWithDeclaredSource,publishedVideosWithDeclaredSource,publishedLeafDeclaredSources,publishedLeafHls,publishedLeafMux,publishedLeafHlsOnly,publishedCollectionDeclaredSources,publishedSeriesDeclaredSources,watchUnrestrictedPublishedLeafDeclared,curatedDeclaredLeafReferences,approvedCuratedDeclaredLeafReferences,curatedEditorialChoicesWithDeclaredLeafSource,approvedEditorialChoicesWithDeclaredLeafSource,uncuratedDeclaredLeafVideos,manifest_pass,manifest_failed,currentWebDisplayLocale,priorCurrentRecommendationStartUnique,priorCurrentRecommendationEligibleIdCeiling,rawLeafInventoryMeaning
cmok1rmqz0216qsv1kg657ilf,15622,,Lala (Zambia),en,Lala (Zambia),leb,leb,core,,2026-09-03T07:00:06.934937+00:00,79,79,64,15,0,64,64,64,64,64,0,0,0,64,35,34,35,34,29,0,0,,,,declared metadata; canonical identity and stream health not guaranteed
cmokktmqr02t0qsccd82dgsvm,22812,a-hmao,A-Hmao,en,A-Hmao,hmd,hmd,core,,2026-09-03T07:00:06.934937+00:00,135,135,118,16,1,118,118,118,118,118,0,0,0,118,67,63,57,54,51,0,0,en,53,118,declared metadata; canonical identity and stream health not guaranteed
cmokkx9i703p8qscc9at3ur7o,4797,aari,Aari,aiw|en,Aari,aiw,aiw,core,,2026-09-03T07:00:06.934937+00:00,77,77,63,14,0,63,63,63,63,63,0,0,0,63,35,34,35,34,28,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokkprz401uuqscc6tnplpoi,184631,abanglekuo,Abanglekuo,en,Abanglekuo,bzy,bzy,core,,2026-09-03T07:00:06.934937+00:00,79,79,64,15,0,64,64,64,64,64,0,0,0,64,35,34,35,34,29,0,0,en,33,64,declared metadata; canonical identity and stream health not guaranteed
cmok1mq1400vjqsv1m6mh7u6f,139251,abanyom,Abanyom,en,Abanyom,abm,abm,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1ksdg00ebqsv15jvpm12c,12296,abau,Abau,en,Abau,aau,aau,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1rx02023mqsv1j0kc6x3s,15909,abidji,Abidji,en,Abidji,abi,abi,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokkxjiq03ruqscc3e9z9dwb,5074,abkhaz,Abkhaz,abk|en,Abkhaz,abk,abk,core,,2026-09-03T07:00:06.934937+00:00,92,92,76,15,1,76,76,76,76,76,0,0,0,76,48,46,36,35,28,0,0,en,34,76,declared metadata; canonical identity and stream health not guaranteed
cmok1s4ku025dqsv12j5kx9vf,16117,abure,Abure,abu|en,Abure,abu,abu,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1qltk01sbqsv1wkv4fbtt,144623,abureni,Abureni,en,Abureni,mgj,mgj,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokkylgo041cqsccbuxn067d,5428,acateco,Acateco,en,Acateco,knj,knj,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1kblu00a7qsv1c8ibz20s,111586,acchami,Acchami,en,Acchami,npi,npi,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,ne,0,0,declared metadata; canonical identity and stream health not guaranteed
cmok1t56002dzqsv1ngbt5m40,17688,aceh,Aceh,ace|en,Aceh,ace,ace,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokkvw2q03csqscckt7kosfc,3697,achang,Achang,acn|en,Achang,acn,acn,core,,2026-09-03T07:00:06.934937+00:00,79,79,63,16,0,63,63,63,63,63,0,0,0,63,35,34,35,34,28,0,0,en,33,63,declared metadata; canonical identity and stream health not guaranteed
