audioLanguageSlug,coreLanguageId,poolKey,themeUnique,sharedWithStart,additionalBeyondStart,unionWithStart
a-hmao,22812,meaning-and-purpose,23,23,0,56
a-hmao,22812,hope-and-perseverance,26,26,0,56
a-hmao,22812,love-and-belonging,20,19,1,57
a-hmao,22812,forgiveness-and-new-beginnings,10,9,1,57
a-hmao,22812,exploring-jesus,37,37,0,56
aari,4797,meaning-and-purpose,18,18,0,35
aari,4797,hope-and-perseverance,16,16,0,35
aari,4797,love-and-belonging,12,12,0,35
aari,4797,forgiveness-and-new-beginnings,7,7,0,35
aari,4797,exploring-jesus,21,21,0,35
abanglekuo,184631,meaning-and-purpose,18,18,0,35
abanglekuo,184631,hope-and-perseverance,16,16,0,35
abanglekuo,184631,love-and-belonging,12,12,0,35
abanglekuo,184631,forgiveness-and-new-beginnings,7,7,0,35
abanglekuo,184631,exploring-jesus,21,21,0,35
abanyom,139251,meaning-and-purpose,18,18,0,35
abanyom,139251,hope-and-perseverance,16,16,0,35
abanyom,139251,love-and-belonging,12,12,0,35
abanyom,139251,forgiveness-and-new-beginnings,7,7,0,35
abanyom,139251,exploring-jesus,21,21,0,35
abau,12296,meaning-and-purpose,18,18,0,35
abau,12296,hope-and-perseverance,16,16,0,35
abau,12296,love-and-belonging,12,12,0,35
abau,12296,forgiveness-and-new-beginnings,7,7,0,35
abau,12296,exploring-jesus,21,21,0,35
abidji,15909,meaning-and-purpose,18,18,0,35
abidji,15909,hope-and-perseverance,16,16,0,35
abidji,15909,love-and-belonging,12,12,0,35
abidji,15909,forgiveness-and-new-beginnings,7,7,0,35
abidji,15909,exploring-jesus,21,21,0,35
abkhaz,5074,meaning-and-purpose,18,18,0,36
abkhaz,5074,hope-and-perseverance,16,16,0,36
abkhaz,5074,love-and-belonging,12,12,0,36
abkhaz,5074,forgiveness-and-new-beginnings,7,7,0,36
abkhaz,5074,exploring-jesus,22,22,0,36
abure,16117,meaning-and-purpose,18,18,0,35
abure,16117,hope-and-perseverance,16,16,0,35
abure,16117,love-and-belonging,12,12,0,35
abure,16117,forgiveness-and-new-beginnings,7,7,0,35
abure,16117,exploring-jesus,21,21,0,35
abureni,144623,meaning-and-purpose,18,18,0,35
abureni,144623,hope-and-perseverance,16,16,0,35
abureni,144623,love-and-belonging,12,12,0,35
abureni,144623,forgiveness-and-new-beginnings,7,7,0,35
abureni,144623,exploring-jesus,21,21,0,35
acateco,5428,meaning-and-purpose,18,18,0,35
acateco,5428,hope-and-perseverance,16,16,0,35
acateco,5428,love-and-belonging,12,12,0,35
acateco,5428,forgiveness-and-new-beginnings,7,7,0,35
acateco,5428,exploring-jesus,21,21,0,35
acchami,111586,meaning-and-purpose,18,18,0,35
acchami,111586,hope-and-perseverance,16,16,0,35
acchami,111586,love-and-belonging,12,12,0,35
acchami,111586,forgiveness-and-new-beginnings,7,7,0,35
acchami,111586,exploring-jesus,21,21,0,35
aceh,17688,meaning-and-purpose,18,18,0,35
aceh,17688,hope-and-perseverance,16,16,0,35
aceh,17688,love-and-belonging,12,12,0,35
aceh,17688,forgiveness-and-new-beginnings,7,7,0,35
aceh,17688,exploring-jesus,21,21,0,35
achang,3697,meaning-and-purpose,18,18,0,35
