language,audioLanguageSlug,displayLocale,eligibleCuratedVideos,catalogVideoIdsUpperBound,reason
Acchami,acchami,ne,0,0,Missing published card translation
Adygey,adygey,ady,0,0,Missing published card translation
Afrikaans,afrikaans,af,0,0,Missing published card translation
Albanian,albanian,sq,0,0,Missing published card translation
"Albanian, Kosovar",albanian-kosovar,sq,0,0,Missing published card translation
Amharic,amharic,am,0,0,Missing published card translation
Antandroy,antandroy,mg,0,0,Missing published card translation
"Arabic, Hassaniya",arabic-hassaniya,mey-Latn,0,0,Missing published card translation
Armenian,armenian,hy,0,0,Missing published card translation
"Armenian, Western",armenian-western,hy,0,0,Missing published card translation
Assamese,assamese,as,0,0,Missing published card translation
Avar,avar,av,0,0,Missing published card translation
Baitadeli,baitadeli,ne,0,0,Missing published card translation
Bajhangi,bajhangi,ne,0,0,Missing published card translation
Bajureli,bajureli,ne,0,0,Missing published card translation
Balanta-Ganja,balanta-ganja,bjt,0,0,Missing published card translation
Balkar,balkar,krc,0,0,Missing published card translation
Bashkir,bashkir,ba,0,0,Missing published card translation
Belorussian,belorussian,be,0,0,Missing published card translation
Bislama,bislama,bi,0,0,Missing published card translation
Bosnian,bosnian,bs,0,0,Missing published card translation
Bulgarian,bulgarian,bg,0,0,Missing published card translation
Burmese,burmese,my,0,0,Missing published card translation
Burmese Musselmani,burmese-musselmani,my,0,0,Missing published card translation
"Cakchiquel, Central",cakchiquel-central,cak,0,0,Missing published card translation
"Cakchiquel, Eastern",cakchiquel-eastern,cak,0,0,Missing published card translation
"Cakchiquel, South Central",cakchiquel-south-central,cak,0,0,Missing published card translation
"Cakchiquel, Western",cakchiquel-western,cak,0,0,Missing published card translation
Cantonese,cantonese,yue,0,0,Missing published card translation
Catalan-Valencian-Balear,catalan-valencian-balear,ca,0,0,Missing published card translation
Cebuano,cebuano,ceb,0,0,Missing published card translation
Chamorro,chamorro,ch,0,0,Missing published card translation
Chechen,chechen,ce,0,0,Missing published card translation
Chichewa,chichewa,ny,0,0,Missing published card translation
"Chinese, Guiliu",chinese-guiliu,zh,0,0,Missing published card translation
"Chinese, Sichuan",chinese-sichuan,zh,0,0,Missing published card translation
"Chinese, Simplified",chinese-simplified,zh-Hans,0,0,Missing published card translation
"Chinese, Traditional",chinese-traditional,zh-Hant,0,0,Missing published card translation
"Chinese, Yunnan (Kunming)",chinese-yunnan-kunming,zh,0,0,Missing published card translation
"Cree, Western",cree-western,crk,0,0,Missing published card translation
Croatian,croatian,hr,0,0,Missing published card translation
Csango,csango,hu,0,0,Missing published card translation
Czech,czech,cs,0,0,Missing published card translation
Danish,danish,da,0,0,Missing published card translation
Darchuleli,darchuleli,ne,0,0,Missing published card translation
Dene,dene,chp,0,0,Missing published card translation
Dhivehi,dhivehi,dv,0,0,Missing published card translation
Dutch,dutch,nl,0,0,Missing published card translation
Dzongkha,dzongkha,dz,0,0,Missing published card translation
Erzya,erzya,myv,0,0,Missing published card translation
Estonian,estonian,et,0,0,Missing published card translation
Euskera,basque,eu,0,0,Missing published card translation
Ewe,ewe,ee,0,0,Missing published card translation
Faroese,faroese,fo,0,0,Missing published card translation
