language,audioLanguageSlug,displayLocale,eligibleCuratedVideos,catalogVideoIdsUpperBound,reason,coreLanguageId,publishedVariantRows,publishedDistinctVideoIds,collectionOrSeriesVideoIds,publishedLeafVideoIds,leafVideosWithHls,leafVideosWithMux,leafVideosWithHlsOrMux,nonLeafVideosWithHlsOrMux,nonLeafWithoutStream,coreStreamCountAtLeast6,observedAt,pages,evidenceSha256
Acchami,acchami,ne,0,0,Missing published card translation,111586,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:32:54.429275+00:00,1,cc8d77a8294d414fc59bec4ffdf38a8687530314c633675db5b52c89738ff231
Adygey,adygey,ady,0,0,Missing published card translation,20522,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:32:54.209744+00:00,1,4f3fbf6898a5f1385cf81489ba6878b2796a08968d4dcf38ed28624b3b48eb06
Afrikaans,afrikaans,af,0,0,Missing published card translation,1444,298,298,35,263,263,263,263,2,33,True,2026-09-10T03:32:55.125417+00:00,1,b6bdd947a33bcb49a1bfc57d168d11a0433ec150b6e0b9e445246979b9338838
Albanian,albanian,sq,0,0,Missing published card translation,20526,198,198,27,171,171,171,171,2,25,True,2026-09-10T03:32:54.504594+00:00,1,dfc2b38d3e035a3c10e429ffb0ce3574fdb253db65d0fcfd3e6743c32ed05342
"Albanian, Kosovar",albanian-kosovar,sq,0,0,Missing published card translation,20528,107,107,22,85,85,85,85,2,20,True,2026-09-10T03:32:55.911573+00:00,1,779b111d1c170cfbcdc042e60635766e7ca220f0d76fb04c1b3990b384998fa5
American Sign Language,american-sign-language,en,2,2,Insufficient eligible catalog inventory,19171,9,9,7,2,2,2,2,0,7,False,2026-09-10T03:34:37.002533+00:00,1,a5e45e7d7c4751b6e2be1030469ddc552a103b545edb7f063d008c54b9f32f3a
Amharic,amharic,am,0,0,Missing published card translation,4791,209,209,33,176,176,176,176,2,31,True,2026-09-10T03:32:56.668852+00:00,1,7314f731350429e08b00194dbdc1f542dbb52df82ce4295d6b62f53b1289b59a
Antandroy,antandroy,mg,0,0,Missing published card translation,23192,79,79,15,64,64,64,64,0,15,True,2026-09-10T03:32:57.560572+00:00,1,17981dbe59074de5e1a4f264d9de447c145faa076bbce3e2d3b4073b0581f41a
Antesaka,antesaka,en,0,2,Insufficient eligible catalog inventory,139153,12,12,10,2,2,2,2,0,10,False,2026-09-10T03:34:37.403846+00:00,1,1180edaf3ce7f835bcf085859cb10b3ffce09b139767c230eac139926f95780b
"Arabic, Hassaniya",arabic-hassaniya,mey-Latn,0,0,Missing published card translation,7839,105,105,21,84,84,84,84,2,19,True,2026-09-10T03:32:56.629254+00:00,1,920fc118672f14e91f777323cd3f270566385448a5960652bc850a52eb19f5e7
"Arabic, Najdi",arabic-najdi,en,5,9,Additional curation needed,184591,14,14,5,9,9,9,9,0,5,True,2026-09-10T03:34:52.970143+00:00,1,52552536db6c8f21880656b87f128d5ed889399c1895550aea1158df1fd1d379
"Arabic, North African",arabic-north-african,ar,1,1,Insufficient eligible catalog inventory,20538,8,8,7,1,1,1,1,0,7,False,2026-09-10T03:34:37.442940+00:00,1,3faafe300a24d1027e8fd334a97e93362e02e17a95316ef4dd89b0504361c94e
Armenian,armenian,hy,0,0,Missing published card translation,646,183,183,27,156,156,156,156,2,25,True,2026-09-10T03:32:58.103077+00:00,1,fc451a490f8fb62c9dafded9864d04c49efa19ece15217b9d9ecdf345e764d6f
"Armenian, Western",armenian-western,hy,0,0,Missing published card translation,20550,151,151,20,131,131,131,131,0,20,True,2026-09-10T03:32:58.342693+00:00,1,109b5e858d83747c7c1d7fe17f776d98f14e0da557693d84050080fdf34b4f19
