utc_date,requests,sessions,requests_with_items,items,rendered,impressions,impressed_requests,impressed_sessions,selections,selections_after_impression,selecting_sessions,claimed,starts,classified,active_qualified,legacy_qualified,qualified_sessions,active_ms
2026-09-01,7691,5116,5570,26853,22886,2258,497,402,59,51,46,47,19,59,14,16,13,2108840
2026-09-02,6700,4210,4691,23668,20274,1988,494,394,67,62,47,50,24,67,14,17,12,1866882
2026-09-03,7160,5489,4329,21984,17939,1285,295,234,44,41,32,21,7,44,3,5,3,536636
2026-09-04,8771,5412,6197,32243,23007,1833,446,329,64,59,50,41,19,64,10,15,9,2152822
2026-09-05,7762,5390,5490,27174,18576,1598,383,300,48,45,31,27,16,48,10,12,9,1795661
2026-09-06,7763,5380,5384,26738,19878,1512,361,296,45,42,35,34,14,44,7,10,6,1117076
2026-09-07,9310,6028,6765,33284,26293,1832,439,333,71,67,59,69,30,71,15,23,15,2189537
2026-09-08,10930,7051,7830,37982,29239,1872,430,347,56,54,45,54,34,56,17,24,16,3897319
2026-09-09,9432,6811,7848,37551,17467,1999,477,348,72,69,56,69,31,72,18,22,18,2273351
2026-09-10,7945,6236,6660,31560,12894,1414,353,276,50,50,40,47,30,50,14,19,13,2226347
2026-09-11,11040,9011,8659,40679,14718,1678,411,326,68,64,57,64,37,68,19,27,17,3410209
2026-09-12,10538,8722,8490,38255,13155,1589,388,302,59,57,42,55,31,59,20,29,16,2424791
2026-09-13,9012,7308,7369,32777,11402,1364,335,267,32,30,23,28,18,32,8,10,8,562285
2026-09-14,11225,8727,9545,46212,21164,2011,487,375,65,63,54,61,34,55,15,18,15,2624160
2026-09-15,759,598,651,2967,1027,145,33,25,7,6,5,7,4,2,1,1,1,111939
