utc_date,requests,with_cards,timeouts,empty,unavailable,success_p50_ms,success_p95_ms
2026-09-01,7691,5570,64,2053,68,82,866
2026-09-02,6700,4691,77,1919,90,99,887
2026-09-03,7160,4329,1137,1680,1151,482,1180
2026-09-04,8771,6197,1140,1416,1158,426,1177.1999999999998
2026-09-05,7762,5490,1037,1225,1047,720,1164
2026-09-06,7763,5384,1168,1192,1187,841.5,1171
2026-09-07,9310,6765,982,1549,996,1051,1162
2026-09-08,10930,7830,1640,1437,1663,1077,1191
2026-09-09,9432,7848,348,1233,351,127,1121
2026-09-10,7945,6660,42,1240,45,111,643.0499999999993
2026-09-11,11040,8659,27,2351,30,112,564.2000000000007
2026-09-12,10538,8490,30,2017,31,108,558.5499999999993
2026-09-13,9012,7369,35,1606,37,144,600.5999999999995
2026-09-14,11225,9545,23,1656,24,144,737
2026-09-15,759,651,1,107,1,95,457
