locale,requests,with_cards,timeouts
en,50956,44514,1898
es,4262,3919,33
fr,1536,1421,14
ar,1130,1028,9
id,1013,982,7
ru,694,635,9
pt,608,492,2
hi,436,343,8
ko,432,406,6
th,431,414,2
te,388,0,0
fil,345,298,2
zh,329,0,1
bn,319,287,3
tr,299,250,3
ur,286,267,4
vi,274,241,4
de,261,220,4
ja,248,225,6
fa,240,198,5
sw,234,0,0
ta,188,0,0
ne,153,0,0
yue,146,0,0
zh-Hans,133,0,0
pl,127,0,0
kn,126,0,0
lt,123,0,0
am,118,0,0
ms,114,0,0
sr,96,0,0
cak,95,0,1
ny,92,0,0
zh-Hant,91,0,0
it,89,0,0
nl,83,0,0
ro,80,0,0
he,77,72,0
mn,75,72,0
pa,72,0,0
ht,70,0,0
uk,67,0,0
kk,66,65,0
af,66,0,0
mg,65,0,0
as,62,0,0
gu,58,0,1
ml,57,0,1
bg,56,0,0
mr,56,0,1
fi,54,0,1
ckb,54,0,0
sq,52,0,0
rw,52,0,0
km,51,0,1
sn,51,0,0
el,51,0,1
cs,51,0,0
tk,47,0,0
tzm,46,0,0
tg,46,0,0
sd,46,0,0
quc,44,0,0
ln,43,0,0
sv,41,0,0
hy,40,0,0
sk,37,0,1
so,37,0,0
hr,36,0,0
wo,36,0,0
st,36,0,0
xh,35,0,1
hu,32,0,0
ga,31,0,0
ks,31,0,1
ee,31,0,0
mai,31,0,0
yo,31,0,0
sat,30,0,0
ba,28,0,0
ka,27,0,0
lo,27,0,1
is,26,0,0
zu,26,0,0
et,26,0,0
to,25,0,0
si,24,0,0
ho,24,0,0
mey-Latn,24,0,0
ky,24,0,0
mt,23,0,0
udm,23,0,0
ilo,22,0,0
mk,22,0,0
mdh,22,0,1
rn,21,0,0
tn,21,0,0
fj,21,0,0
tyv,21,0,0
gil,20,0,0
nd,20,0,0
ce,20,0,0
bsc,19,0,0
ca,19,0,0
tsg,19,0,0
sm,18,0,0
na,18,0,0
sg,18,0,0
usp,18,0,0
tt,17,0,0
krc,17,0,0
crk,16,0,0
mh,16,0,0
lua,15,0,0
pag,15,0,0
ug,15,0,0
da,15,0,0
my,15,0,0
ve,14,0,0
mfv,14,0,0
ady,14,0,0
mi,14,0,0
ss,13,0,0
hif,13,0,0
sav,13,0,0
ch,13,0,0
cy,12,0,0
dz,12,0,0
kbd,12,0,0
ceb,12,0,0
gd,12,0,0
csb,12,0,0
dv,12,0,0
inh,12,0,0
be,11,0,0
kum,11,0,0
ty,11,0,0
sl,11,0,0
eu,11,0,0
dyo,11,0,0
ts,11,0,0
bo,10,0,0
tpi,10,0,0
tet,10,0,0
lbe,10,0,0
lez,10,0,0
kl,10,0,0
bs,10,0,0
sah,10,0,0
pap,9,0,0
gl,9,0,0
nso,9,0,0
bjt,9,0,0
os,9,0,0
av,9,0,0
snf,8,0,0
pau,8,0,0
srr,8,0,0
chp,8,0,0
bi,8,0,0
no,8,0,0
mdf,7,0,0
lv,7,0,0
kha,7,0,0
ixl,7,0,0
haw,7,0,0
myv,7,0,0
hil,6,0,0
nr,6,0,0
dgr,6,0,0
fo,6,0,0
knf,5,0,0
koi,4,0,0
war,3,0,0
