locale,requests,sessions,requests_with_items,items,rendered,impressions,impressed_requests,impressed_sessions,selections,selections_after_impression,selecting_sessions,claimed,starts,classified,active_qualified,legacy_qualified,qualified_sessions,active_ms
en,50956,41877,44514,193696,67623,5327,1295,961,180,172,144,170,95,171,42,60,41,6637129
es,4262,2029,3919,23514,20400,2251,572,467,64,60,58,61,33,59,19,23,18,3800347
fr,1536,776,1421,8504,7202,1087,250,189,50,49,35,47,22,50,11,15,10,1539888
ar,1130,884,1028,6148,2604,289,72,57,10,10,8,8,5,10,4,4,4,436307
id,1013,598,982,5888,3909,407,95,70,15,14,7,13,8,15,3,3,3,195613
ru,694,457,635,3805,2592,295,70,66,5,5,5,4,4,5,3,3,3,754527
pt,608,383,492,2952,1848,287,66,43,17,17,11,16,10,16,4,7,2,1030268
hi,436,239,343,2058,1538,192,50,44,7,6,5,7,4,7,2,2,2,61705
ko,432,273,406,2430,1621,264,53,46,6,6,4,6,4,6,4,4,3,519959
th,431,256,414,2481,1809,284,69,46,10,9,6,10,5,10,3,4,3,457904
te,388,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fil,345,217,298,1788,1407,225,54,45,8,8,7,8,6,8,5,5,4,929546
zh,329,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bn,319,248,287,1722,904,155,38,29,8,8,5,7,4,8,3,3,2,407237
tr,299,210,250,1500,1036,119,27,26,3,3,3,2,1,3,1,1,1,64261
ur,286,240,267,1602,1119,241,63,61,2,2,2,2,1,2,0,1,0,16589
vi,274,202,241,1440,795,67,16,16,1,1,1,1,1,1,1,1,1,60358
de,261,213,220,1320,749,93,18,15,5,5,5,5,4,5,2,4,2,283024
ja,248,173,225,1350,979,216,46,40,7,7,6,7,6,7,2,5,2,115281
fa,240,164,198,1188,544,110,25,17,4,4,4,4,2,4,1,2,1,51042
