target_media_id,slug,current_english_title
cmp783u4m03emqm01e7rcb2ll,teaching-about-prayer-and-faith-2,Teaching About Prayer and Faith
cmp784sji03v6qm01t21d1tgi,rivka-believes,Rivka Believes
cmp76tnht01zgny01ueqzgv5x,the-story-of-jesus-for-children,The Story of Jesus for Children
cmp76uecu0216ny01eel7sonr,storyclubs-birth-of-jesus,StoryClubs: Birth of Jesus
cmp782z0p02z0qm01w47mflhd,growing-in-christ,Growing In Christ
cmp78309r02zoqm01731wmiad,magdalena-director-cut,Magdalena - Director's Cut
cmp784e0403o8qm01961owusn,jesus-carries-his-cross-and-is-crucified,Jesus Carries His Cross and Is Crucified
cmp78ecr308osqm01ni0jvmpz,chosen-witness,Chosen Witness
cmp781sp002dkqm01afgkh1cz,jesus-is-crucified,Jesus is Crucified
cmp78k1bw0bl2qm013yrlxklo,day-18-storm,Day 18: Storm
cmp78kvm30bzsqm01agyn63pf,day-38-he-is-risen,Day 38: He is Risen!
cmp76uvun0236ny0141akqr2x,storyclubs-miraculous-catch-of-fish,StoryClubs: Miraculous Catch of Fish
cmp78256t02kmqm01iuotw495,invitation-to-know-jesus-personally,Invitation to Know Jesus Personally
cmp78jdaz0b92qm01you32j2y,day-1-beginnings,Day 1: Beginnings
cmp78jepl0b9uqm01xqpi0l2p,day-2-miraculous-birth,Day 2: Miraculous Birth
cmp76ycuv02n0ny01faav3nae,the-beginning,The Beginning
cmp781rkx02d0qm01g6gba41l,jesus-carries-his-cross,Jesus Carries His Cross
cmp76xcw602imny01vnsbwwy9,jesus,JESUS
cmp7830yp02zwqm018xe9jso4,magdalena-2,Magdalena
cmp76zt5402w8ny01d40vgm3l,miraculous-catch-of-fish,Miraculous Catch of Fish
